Quantity 1,Description,Customer Part No.,Mouser Part Number
2,MKP1848S61010JY5B,MKP1848S61010JY5B,MKP1848S61010JY5B
7,VY1222M47Y5UQ6TV0,VY1222M47Y5UQ6TV0,VY1222M47Y5UQ6TV0
1,TBP01R2-508-04BE,TBP01R2-508-04BE,TBP01R2-508-04BE
