Quantity,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
4,HW-C2-PCB-CTRL-A,ControlBoard,,ControlBoard,pcb,ControlBoard
4,HW-C2-PCB-DCBUSCAP-A,DCBusCapacitorBoard,,DCBusCapacitorBoard,pcb,DCBusCapacitorBoard
4,HW-C2-PCB-DCFLT-A,DCBusFilter,,DCBusFilter,pcb,DCBusFilter
4,HW-C2-PCB-GD-A,GateDriver,,GateDriver,pcb,GateDriver
4,HW-C2-PCB-IO-A,IOBoard,,IOBoard,pcb,IOBoard
