Quantity,Order Qty,Pack Size,Leftover,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
4,4,,,HW-C2-BB-DCLBB-A,HW-C2-DCLBB-A,,HW-C2-DCLBB-A,sendcutsend,HW-C2-DCLBB-A
6,6,,,HW-C2-BB-PBB-A,HW-C2-PBB-A,,HW-C2-PBB-A,sendcutsend,HW-C2-PBB-A
140,140,,,HW-C2-CAP-100N-A,100nF 100V,CBPN-JMGYO-100nF,100nF,mouser,80-C1210C104K1RAC
42,42,,,HW-C2-CAP-10N-A,10nF 500V,CBPN-FZHK8-10nF,10nF,mouser,187-CL32B103KGFNNNE
74,74,,,HW-C2-CAP-10U-A,10uF 25V,CBPN-Z2OBH-10uF,10uF,mouser,187-CL32A106KAULNNE
16,16,,,HW-C2-CAP-1U-A,1uf 50V,CBPN-6J4DK-1uf,1uF,mouser,187-CL32B105KBHNNNE
4,4,,,HW-C2-CAP-2U2-A,2.2uf 1210 100v,CBPN-X4VU0-22uf,2.2uF,mouser,80-C1210C225J1RAUTO
12,12,,,HW-C2-CAP-220P-A,220pF 100V C0G 1210,,220pF,mouser,80-C1210C221J2G
8,8,,,HW-C2-CAP-22P-A,22pF 50V,CBPN-XGV7B-22pF,22pF,mouser,80-C1210C220J5G
4,4,,,HW-C2-IC-8MHZ-A,8mhz hc49-4h crystal,CBPN-QQUPE-8mhz,8MHz,mouser,710-830003156B
2,2,,,HW-C2-IC-CY15B102Q-SXET-A,CY15B102Q-SXET,,CY15B102Q-SXET,mouser,727-CY15B102Q-SXET
8,8,,,HW-C2-IC-ISO1042BDWVR-A,ISO1042BDWVR,,ISO1042BDWVR,mouser,595-ISO1042BDWVR
2,2,,,HW-C2-IC-ISO1212DBQ-A,ISO1212DBQ,,ISO1212DBQ,mouser,595-ISO1212DBQ
2,2,,,HW-C2-IC-MAX22530AWE-A,MAX22530AWE+,,MAX22530AWE+,mouser,700-MAX22530AWE+
12,12,,,HW-C2-IC-NCV57100DWR2G-A,NCV57100DWR2G,,NCV57100DWR2G,mouser,863-NCV57100DWR2G
2,2,,,HW-C2-IC-STM32G474RCT3-A,STM32G474RCT3,,STM32G474RCT3,mouser,511-STM32G474RCT3
