Quantity,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
1,HW-C2-PCB-CTRL-A,ControlBoard,,ControlBoard,pcb,ControlBoard
1,HW-C2-PCB-DCBUSCAP-A,DCBusCapacitorBoard,,DCBusCapacitorBoard,pcb,DCBusCapacitorBoard
1,HW-C2-PCB-DCFLT-A,DCBusFilter,,DCBusFilter,pcb,DCBusFilter
1,HW-C2-PCB-GD-A,GateDriver,,GateDriver,pcb,GateDriver
1,HW-C2-PCB-IO-A,IOBoard,,IOBoard,pcb,IOBoard
