Quantity,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
6,HW-C2-3DP-DC-LINK-MODULE-HOLDER-SP-A,DC Link Module Holder Spacer - Printed,,DC Link Module Holder Spacer - Printed,sendcutsend,DC Link Module Holder Spacer - Printed
3,HW-C2-3DP-DCLSPCR-PRINTED-A,HW-C2-DCLSPCR-PRINTED-B,,HW-C2-DCLSPCR-PRINTED-B,sendcutsend,HW-C2-DCLSPCR-PRINTED-B
1,HW-C2-3DP-SHELL-PRINTED-A,HW-C2-SHELL-PRINTED-A,,HW-C2-SHELL-PRINTED-A,sendcutsend,HW-C2-SHELL-PRINTED-A
2,HW-C2-BB-DCLBB-A,HW-C2-DCLBB-A,,HW-C2-DCLBB-A,sendcutsend,HW-C2-DCLBB-A
3,HW-C2-BB-PBB-A,HW-C2-PBB-A,,HW-C2-PBB-A,sendcutsend,HW-C2-PBB-A
1,HW-C2-HW-DC-LINK-MODULE-HOLDER-A,DC Link Module Holder - 200V Class,,DC Link Module Holder - 200V Class,sendcutsend,DC Link Module Holder - 200V Class
1,HW-C2-HW-THERMAL-PAD-CUTTING-STEN-A,Thermal Pad Cutting Stencil,,Thermal Pad Cutting Stencil,sendcutsend,Thermal Pad Cutting Stencil
1,HW-C2-PLT-BSP-A,HW-C2-BSP-A,,HW-C2-BSP-A,sendcutsend,HW-C2-BSP-A
1,HW-C2-PLT-CHSP-A,HW-C2-CHSP-B,,HW-C2-CHSP-B,sendcutsend,HW-C2-CHSP-B
