Mouser Part Number,qty,Manufacturer Part Number,Customer Part Number,Description
534-5000,27,TestPoint,HW-C2-HW-TESTPOINT-TH-RED-A,"Testpoint TH, RED"
595-TPS389006ADJRTER,1,TPS389006ADJRTER,HW-C2-HW-TPS389006ADJRTER-A,TPS389006ADJRTER
179-TS406650R260S,4,TS40-66-50-R-260-SMT-TR,HW-C2-HW-TS40-66-50-R-260-SMT-TR-A,TS40-66-50-R-260-SMT-TR
200-TSW10318GD,2,TSW-103-18-G-D,HW-C2-HW-TSW-103-18-G-D-A,TSW-103-18-G-D
200-TSW10818FD,2,TSW-108-18-F-D,HW-C2-HW-TSW-108-18-F-D-A,TSW-108-18-F-D
200-TSW11018TD,1,TSW-110-18-T-D,HW-C2-HW-TSW-110-18-T-D-A,TSW-110-18-T-D
647-UCM1H101MCL1GS,17,UCM1H101MCL1GS,HW-C2-HW-UCM1H101MCL1GS-A,UCM1H101MCL1GS
647-UCS2D331MHD,60,UCS2D331MHD,HW-C2-HW-UCS2D331MHD-A,UCS2D331MHD
179-UJ2-B-HR-G-V,1,UJ2-B-HR-G-V,HW-C2-HW-UJ2-B-HR-G-V-A,UJ2-B-HR-G-V
72-VY1222M47Y5UQ6TV0,23,VY1222M47Y5UQ6TV0,HW-C2-HW-VY1222M47Y5UQ6TV0-A,VY1222M47Y5UQ6TV0
603-AC1210JR-0710KL,34,10k,HW-C2-RES-10K-A,10k 1210
603-AC1210FR-07120RL,6,120,HW-C2-RES-120-A,120 1210
603-RC1210FR-071KL,22,1k,HW-C2-RES-1K-A,1k 1210
667-ERJ-14BQF2R7U,15,2.7,HW-C2-RES-2R7-A,2.7 ohm 1210
667-ERJ-P14F2002U,20,20k,HW-C2-RES-20K-A,20k 1210 resistor
603-RC1210FR-07220RL,3,220,HW-C2-RES-220-A,220 1210
603-RC1210FR-073KL,5,3k,HW-C2-RES-3K-A,3k 1210 1%
71-CRCW12104K70FKEAH,5,4.7k,HW-C2-RES-4K7-A,4.7k 1210
667-ERJ-P14F4993U,3,499k,HW-C2-RES-499K-A,499kohm 1210 resistor
667-ERJ-P14F5600U,4,560,HW-C2-RES-560-A,560ohm 1210 resistor
71-CRCW1210-249K-E3,20,250k,HW-C2-RES-250K-A,Thick Film Resistors - SMD 1/2watt 249Kohms 1%
