Quantity,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
1,HW-C2-WH-TSBCM-A,CapacitorTempSenseHarness,,CapacitorTempSenseHarness,assembly,
4,HW-C2-WH-CS-A,CurrentSenseHarness,,CurrentSenseHarness,assembly,
1,HW-C2-WH-GDVS-A,GDVSHarness,,GDVSHarness,assembly,
2,HW-C2-WH-TSIGBT-A,TempSenseHarness,,TempSenseHarness,assembly,
